Mesh name	Mat name

mesh_0_Mesh_Platform1	squard_room_platform_3_dif1
mesh_1_Mesh_polySurface1480	squard_room_platform_2_dif
mesh_2_Mesh_polySurface1481	squard_room_platform_2_dif
mesh_3_Mesh_polySurface1482	squard_room_platform_2_dif
mesh_4_Mesh_polySurface1483	squard_room_platform_2_dif
mesh_5_Mesh_polySurface1484	squard_room_platform_2_dif
mesh_6_Mesh_polySurface1485	squard_room_platform_2_dif
mesh_7_Mesh_polySurface1486	squard_room_platform_2_dif
mesh_8_Mesh_polySurface1487	squard_room_platform_2_dif
mesh_9_Mesh_polySurface1488	squard_room_platform_2_dif
mesh_10_Mesh_polySurface1489	squard_room_platform_2_dif
mesh_11_Mesh_polySurface1490	squard_room_platform_2_dif
mesh_12_Mesh_polySurface1491	squard_room_platform_2_dif
mesh_13_Mesh_polySurface1492	squard_room_platform_2_dif
mesh_14_Mesh_polySurface1493	squard_room_platform_2_dif
mesh_15_Mesh_polySurface1494	squard_room_platform_2_dif
mesh_16_Mesh_polySurface1495	squard_room_platform_2_dif
mesh_17_Mesh_polySurface1496	squard_room_platform_2_dif
mesh_18_Mesh_polySurface1497	squard_room_platform_2_dif
mesh_19_Mesh_polySurface1498	squard_room_platform_2_dif
mesh_20_Mesh_polySurface1499	squard_room_platform_2_dif
mesh_21_Mesh_polySurface1500	squard_room_platform_2_dif
mesh_22_Mesh_polySurface1501	squard_room_platform_2_dif
mesh_23_Mesh_polySurface1502	squard_room_platform_2_dif
mesh_24_Mesh_polySurface1503	squard_room_platform_2_dif
mesh_25_Mesh_polySurface1504	squard_room_platform_2_dif
mesh_26_Mesh_polySurface1505	squard_room_platform_2_dif
mesh_27_Mesh_polySurface1506	squard_room_platform_2_dif
mesh_28_Mesh_polySurface1507	squard_room_platform_2_dif
mesh_29_Mesh_polySurface1508	squard_room_platform_2_dif
mesh_30_Mesh_polySurface1509	squard_room_platform_2_dif
mesh_31_Mesh_polySurface1510	squard_room_platform_2_dif
mesh_32_Mesh_polySurface1511	squard_room_platform_2_dif
mesh_33_Mesh_polySurface1512	squard_room_platform_2_dif
mesh_34_Mesh_polySurface1513	squard_room_platform_2_dif
mesh_35_Mesh_polySurface1514	squard_room_platform_2_dif
mesh_36_Mesh_polySurface1515	squard_room_platform_2_dif
mesh_37_Mesh_polySurface1516	squard_room_platform_2_dif
mesh_38_Mesh_polySurface1517	squard_room_platform_2_dif
mesh_39_Mesh_polySurface1518	squard_room_platform_2_dif
mesh_40_Mesh_polySurface1519	squard_room_platform_2_dif
mesh_41_Mesh_polySurface1520	squard_room_platform_2_dif
mesh_42_Mesh_polySurface1521	squard_room_platform_2_dif
